NOAA/GMD balloon flight data file

SkySonde Client Version:, 1.1.1.8
Balloon Flight Name:, flp02
Attached Instruments:, Radiosonde
Station Name:, FabricaForno
Station Latitude:, -16.48428
Station Longitude:, -68.14620
Station Altitude:, 3736.00 [m]
Station Pressure:, 645.43 [mb]
Station Temperature:, 2.500 [deg C]
Station Humidity:, 29.590 [% RH]
Radiosonde Serial Number / ID:, 44591
Pressure/Altitude Source:, iMet Radiosonde
Solar Radiation Correction:, Yes

date [d-m-y GMT], time [h:m:s GMT], milliseconds, seconds since midnight [GMT], elapsed minutes, altitude (from iMet PTU) [km], iMet pressure [mb], iMet air temperature (corrected) [deg C], iMet air temperature (raw) [deg C], iMet humidity [RH %], iMet frostpoint [deg C], iMet internal temperature [deg C], iMet battery voltage [V], iMet theta [K], iMet temperature (of pressure sensor) [deg C], iMet temperature (of humidity sensor) [deg C], iMet ascent rate [m/s], iMet water vapor mixing ratio [ppmv], iMet total column water [mm], GPS latitude, GPS longitude, GPS altitude [km], GPS num satellites, GPS pressure [mb], GPS wind speed [m/s], GPS wind direction [deg], GPS ascent rate [m/s], GPS(X) east velocity [m/s], GPS(X) north velocity [m/s], GPS(X) up velocity [m/s], GPS time [h:m:s GMT], GPS heading from launch [deg], GPS elevation angle from launch [deg], GPS distance from launch [km], predicted landing latitude, predicted landing longitude, predicted time to landing [min]
26-07-2023, 07:14:44, 255, 26084.255, 12.57105, 3.7356, 651.08, 3.00, 3.00, 30.66, -11.27, 23.22, 5.1, 312.209, 23.44, 3.00, -0.03, 3582.43, 0.000, -16.48429, -68.14620, 3.7380, 10, 645.27, 0.00, 104.61, -0.03, 0.00, 0.00, 0.00, 11:15:29, 188.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:45, 265, 26085.265, 12.58788, 3.7359, 651.06, 3.03, 3.03, 31.28, -11.02, 23.23, 5.1, 312.246, 23.44, 3.03, -0.02, 3663.06, 0.000, -16.48429, -68.14620, 3.7380, 10, 645.27, 0.03, 104.61, -0.03, 0.00, 0.00, 0.00, 11:15:30, 188.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:46, 255, 26086.255, 12.60438, 3.7360, 651.05, 3.01, 3.01, 31.49, -10.96, 23.24, 5.1, 312.225, 23.44, 3.01, -0.01, 3682.56, 0.000, -16.48429, -68.14620, 3.7380, 10, 645.27, 0.03, 104.61, -0.03, 0.00, 0.00, 0.00, 11:15:31, 190.2, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:47, 255, 26087.255, 12.62105, 3.7363, 651.03, 2.96, 2.96, 31.25, -11.09, 23.25, 5.1, 312.171, 23.44, 2.96, -0.01, 3641.52, 0.000, -16.48429, -68.14620, 3.7380, 10, 645.27, 0.05, 104.61, -0.03, 0.00, 0.00, 0.00, 11:15:32, 188.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:48, 245, 26088.245, 12.63755, 3.7363, 651.03, 2.91, 2.91, 31.22, -11.14, 23.24, 5.1, 312.114, 23.45, 2.91, 0.00, 3625.09, 0.000, -16.48429, -68.14620, 3.7380, 10, 645.27, 0.05, 104.61, -0.07, 0.00, 0.00, 0.00, 11:15:33, 188.8, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:49, 265, 26089.265, 12.65455, 3.7361, 651.04, 2.94, 2.94, 32.19, -10.77, 23.25, 5.1, 312.147, 23.45, 2.94, -0.01, 3746.08, 0.000, -16.48429, -68.14621, 3.7380, 10, 645.27, 0.11, 62.46, -0.07, 0.00, 0.00, 0.00, 11:15:34, 212.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:50, 255, 26090.255, 12.67105, 3.7363, 651.03, 2.94, 2.94, 32.31, -10.73, 23.24, 5.1, 312.148, 23.45, 2.94, -0.01, 3760.15, 0.000, -16.48429, -68.14621, 3.7370, 10, 645.35, 0.12, 62.46, -0.10, 0.00, 0.00, 0.00, 11:15:35, 212.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:51, 255, 26091.255, 12.68772, 3.7365, 651.01, 2.92, 2.92, 31.69, -10.96, 23.24, 5.1, 312.128, 23.45, 2.92, 0.00, 3682.60, 0.000, -16.48430, -68.14621, 3.7370, 10, 645.35, 0.13, 51.97, -0.10, 0.00, 0.00, 0.00, 11:15:36, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:52, 255, 26092.255, 12.70438, 3.7366, 651.00, 2.94, 2.94, 31.33, -11.08, 23.24, 5.1, 312.152, 23.45, 2.94, 0.01, 3645.86, 0.000, -16.48430, -68.14621, 3.7370, 10, 645.35, 0.11, 62.46, -0.10, 0.00, 0.00, 0.00, 11:15:37, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:53, 255, 26093.255, 12.72105, 3.7367, 650.99, 2.96, 2.96, 30.27, -11.45, 23.25, 5.1, 312.176, 23.46, 2.96, 0.02, 3527.14, 0.000, -16.48430, -68.14621, 3.7370, 10, 645.35, 0.11, 62.46, -0.07, 0.00, 0.00, 0.00, 11:15:38, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:54, 205, 26094.205, 12.73688, 3.7366, 651.00, 2.92, 2.92, 29.38, -11.81, 23.26, 5.1, 312.130, 23.46, 2.92, 0.00, 3413.30, 0.000, -16.48430, -68.14621, 3.7370, 10, 645.35, 0.15, 43.80, -0.07, 0.00, 0.00, 0.00, 11:15:39, 206.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:55, 215, 26095.215, 12.75372, 3.7364, 651.02, 2.93, 2.93, 28.90, -11.99, 23.25, 5.1, 312.138, 23.46, 2.93, 0.00, 3359.63, 0.000, -16.48430, -68.14621, 3.7370, 10, 645.35, 0.13, 51.97, -0.07, 0.00, 0.00, 0.00, 11:15:40, 206.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:56, 195, 26096.195, 12.77005, 3.7365, 651.01, 2.89, 2.89, 28.74, -12.08, 23.26, 5.1, 312.094, 23.46, 2.89, 0.00, 3331.52, 0.000, -16.48430, -68.14621, 3.7370, 10, 645.35, 0.13, 51.97, -0.07, 0.00, 0.00, 0.00, 11:15:41, 206.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:57, 185, 26097.185, 12.78655, 3.7365, 651.01, 2.84, 2.84, 28.63, -12.16, 23.26, 5.1, 312.038, 23.46, 2.84, 0.00, 3306.94, 0.000, -16.48430, -68.14621, 3.7370, 10, 645.35, 0.05, 51.97, -0.07, 0.00, 0.00, 0.00, 11:15:42, 206.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:58, 195, 26098.195, 12.80338, 3.7364, 651.02, 2.84, 2.84, 28.71, -12.13, 23.26, 5.1, 312.036, 23.46, 2.84, 0.00, 3316.16, 0.000, -16.48430, -68.14621, 3.7370, 10, 645.35, 0.08, 51.97, -0.07, 0.00, 0.00, 0.00, 11:15:43, 204.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:14:59, 235, 26099.235, 12.82072, 3.7367, 650.99, 2.91, 2.91, 28.82, -12.03, 23.27, 5.1, 312.120, 23.47, 2.91, 0.01, 3345.69, 0.000, -16.48430, -68.14621, 3.7370, 10, 645.35, 0.05, 51.97, -0.07, 0.00, 0.00, 0.00, 11:15:44, 204.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:00, 175, 26100.175, 12.83638, 3.7366, 651.00, 2.92, 2.92, 29.35, -11.82, 23.26, 5.1, 312.130, 23.47, 2.92, 0.01, 3409.80, 0.000, -16.48430, -68.14621, 3.7370, 10, 645.35, 0.05, 51.97, -0.07, 0.00, 0.00, 0.00, 11:15:45, 204.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:01, 145, 26101.145, 12.85255, 3.7366, 651.00, 2.94, 2.94, 29.34, -11.81, 23.27, 5.1, 312.152, 23.47, 2.94, 0.00, 3413.49, 0.000, -16.48430, -68.14621, 3.7380, 9, 645.27, 0.05, 51.97, -0.03, 0.00, 0.00, 0.00, 11:15:46, 204.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:02, 235, 26102.235, 12.87072, 3.7360, 651.05, 2.98, 2.98, 29.21, -11.83, 23.27, 5.1, 312.191, 23.47, 2.98, -0.01, 3407.74, 0.000, -16.48430, -68.14621, 3.7380, 9, 645.27, 0.00, 51.97, -0.03, 0.00, 0.00, 0.00, 11:15:47, 206.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:03, 225, 26103.225, 12.88722, 3.7364, 651.02, 3.05, 3.05, 29.65, -11.61, 23.27, 5.1, 312.274, 23.47, 3.05, 0.00, 3476.67, 0.000, -16.48430, -68.14621, 3.7380, 9, 645.27, 0.00, 51.97, -0.03, 0.00, 0.00, 0.00, 11:15:48, 206.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:04, 225, 26104.225, 12.90388, 3.7364, 651.02, 3.09, 3.09, 30.38, -11.30, 23.28, 5.1, 312.319, 23.47, 3.09, 0.00, 3572.72, 0.000, -16.48430, -68.14621, 3.7380, 9, 645.27, 0.03, 51.97, -0.03, 0.00, 0.00, 0.00, 11:15:49, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:05, 175, 26105.175, 12.91972, 3.7364, 651.02, 3.06, 3.06, 30.29, -11.36, 23.28, 5.1, 312.285, 23.48, 3.06, 0.00, 3554.51, 0.000, -16.48430, -68.14621, 3.7380, 9, 645.27, 0.03, 51.97, -0.03, 0.00, 0.00, 0.00, 11:15:50, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:06, 225, 26106.225, 12.93722, 3.7360, 651.05, 2.99, 2.99, 30.04, -11.51, 23.27, 5.1, 312.202, 23.48, 2.99, -0.02, 3507.40, 0.000, -16.48430, -68.14621, 3.7380, 9, 645.27, 0.05, 51.97, -0.03, 0.00, 0.00, 0.00, 11:15:51, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:07, 225, 26107.225, 12.95388, 3.7359, 651.06, 2.91, 2.91, 29.43, -11.80, 23.29, 5.1, 312.110, 23.48, 2.91, -0.01, 3416.38, 0.000, -16.48430, -68.14621, 3.7380, 9, 645.27, 0.05, 51.97, 0.00, 0.00, 0.00, 0.00, 11:15:52, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:08, 175, 26108.175, 12.96972, 3.7359, 651.06, 2.79, 2.79, 29.68, -11.80, 23.28, 5.1, 311.974, 23.48, 2.79, -0.01, 3416.18, 0.000, -16.48429, -68.14620, 3.7380, 9, 645.27, 0.13, 231.97, 0.00, 0.00, 0.00, 0.00, 11:15:53, 187.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:09, 175, 26109.175, 12.98638, 3.7364, 651.02, 2.72, 2.72, 29.60, -11.89, 23.29, 5.1, 311.901, 23.48, 2.72, 0.01, 3390.20, 0.000, -16.48429, -68.14620, 3.7380, 9, 645.27, 0.13, 231.97, 0.00, 0.00, 0.00, 0.00, 11:15:54, 187.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:10, 225, 26110.225, 13.00388, 3.7366, 651.00, 2.77, 2.77, 29.29, -11.96, 23.30, 5.1, 311.960, 23.48, 2.77, 0.01, 3366.65, 0.000, -16.48430, -68.14621, 3.7380, 9, 645.27, 0.03, 231.97, 0.00, 0.00, 0.00, 0.00, 11:15:55, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:11, 185, 26111.185, 13.01988, 3.7366, 651.00, 2.89, 2.89, 29.68, -11.72, 23.29, 5.1, 312.096, 23.48, 2.89, 0.02, 3440.92, 0.000, -16.48430, -68.14621, 3.7390, 10, 645.19, 0.03, 231.97, 0.03, 0.00, 0.00, 0.00, 11:15:56, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:12, 185, 26112.185, 13.03655, 3.7364, 651.02, 2.87, 2.87, 30.07, -11.59, 23.30, 5.1, 312.070, 23.49, 2.87, 0.02, 3481.22, 0.000, -16.48430, -68.14621, 3.7390, 10, 645.19, 0.00, 231.97, 0.03, 0.00, 0.00, 0.00, 11:15:57, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:13, 205, 26113.205, 13.05355, 3.7360, 651.05, 2.94, 2.94, 30.21, -11.48, 23.29, 5.1, 312.145, 23.49, 2.94, 0.01, 3514.79, 0.000, -16.48430, -68.14621, 3.7390, 10, 645.19, 0.00, 231.97, 0.03, 0.00, 0.00, 0.00, 11:15:58, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:14, 155, 26114.155, 13.06938, 3.7359, 651.06, 2.94, 2.94, 30.60, -11.34, 23.30, 5.1, 312.144, 23.49, 2.94, 0.00, 3560.27, 0.000, -16.48430, -68.14621, 3.7380, 10, 645.27, 0.00, 231.97, 0.00, 0.00, 0.00, 0.00, 11:15:59, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:15, 225, 26115.225, 13.08722, 3.7359, 651.06, 2.94, 2.94, 30.43, -11.40, 23.30, 5.1, 312.144, 23.49, 2.94, 0.00, 3540.42, 0.000, -16.48430, -68.14621, 3.7380, 10, 645.27, 0.00, 231.97, 0.00, 0.00, 0.00, 0.00, 11:16:00, 209.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:16, 175, 26116.175, 13.10305, 3.7364, 651.02, 2.91, 2.91, 30.63, -11.35, 23.30, 5.1, 312.116, 23.49, 2.91, 0.00, 3556.39, 0.000, -16.48429, -68.14621, 3.7380, 10, 645.27, 0.10, 90.00, 0.00, 0.00, 0.00, 0.00, 11:16:01, 212.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:17, 185, 26117.185, 13.11989, 3.7364, 651.02, 2.93, 2.93, 30.88, -11.25, 23.30, 5.1, 312.138, 23.49, 2.93, 0.00, 3590.63, 0.000, -16.48429, -68.14621, 3.7380, 10, 645.27, 0.10, 90.00, 0.00, 0.00, 0.00, 0.00, 11:16:02, 212.0, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:18, 195, 26118.195, 13.13672, 3.7366, 651.00, 2.89, 2.89, 30.54, -11.40, 23.30, 5.1, 312.096, 23.50, 2.89, 0.02, 3540.97, 0.000, -16.48429, -68.14621, 3.7380, 10, 645.27, 0.05, 90.00, 0.00, 0.00, 0.00, 0.00, 11:16:03, 215.7, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:19, 195, 26119.195, 13.15339, 3.7365, 651.01, 2.96, 2.96, 30.04, -11.53, 23.31, 5.1, 312.174, 23.50, 2.96, 0.01, 3500.14, 0.000, -16.48429, -68.14621, 3.7390, 10, 645.19, 0.08, 90.00, 0.07, 0.00, 0.00, 0.00, 11:16:04, 220.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:20, 195, 26120.195, 13.17005, 3.7366, 651.00, 2.96, 2.96, 30.29, -11.44, 23.30, 5.1, 312.175, 23.50, 2.96, 0.00, 3529.42, 0.000, -16.48429, -68.14621, 3.7390, 10, 645.19, 0.08, 90.00, 0.07, 0.00, 0.00, 0.00, 11:16:05, 220.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:21, 185, 26121.185, 13.18655, 3.7366, 651.00, 2.96, 2.96, 30.02, -11.54, 23.31, 5.1, 312.175, 23.50, 2.96, 0.00, 3497.85, 0.000, -16.48429, -68.14621, 3.7390, 10, 645.19, 0.08, 90.00, 0.07, 0.00, 0.00, 0.00, 11:16:06, 220.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:22, 185, 26122.185, 13.20322, 3.7366, 651.00, 2.93, 2.93, 29.73, -11.67, 23.31, 5.1, 312.141, 23.51, 2.93, 0.00, 3456.56, 0.000, -16.48429, -68.14620, 3.7390, 10, 645.19, 0.13, 231.97, 0.07, 0.00, 0.00, 0.00, 11:16:07, 190.2, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:23, 185, 26123.185, 13.21989, 3.7366, 651.00, 2.92, 2.92, 29.07, -11.93, 23.32, 5.1, 312.130, 23.51, 2.92, 0.00, 3377.16, 0.000, -16.48429, -68.14620, 3.7390, 10, 645.19, 0.15, 223.80, 0.07, 0.00, 0.00, 0.00, 11:16:08, 192.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:24, 225, 26124.225, 13.23722, 3.7371, 650.96, 2.89, 2.89, 28.68, -12.10, 23.31, 5.1, 312.101, 23.51, 2.89, 0.03, 3324.80, 0.000, -16.48429, -68.14620, 3.7390, 10, 645.19, 0.13, 231.97, 0.07, 0.00, 0.00, 0.00, 11:16:09, 192.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:25, 215, 26125.215, 13.25372, 3.7371, 650.96, 2.94, 2.94, 28.68, -12.06, 23.31, 5.1, 312.158, 23.51, 2.94, 0.02, 3336.65, 0.000, -16.48429, -68.14620, 3.7390, 10, 645.19, 0.13, 231.97, 0.07, 0.00, 0.00, 0.00, 11:16:10, 192.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:26, 145, 26126.145, 13.26922, 3.7369, 650.98, 2.97, 2.97, 28.90, -11.95, 23.33, 5.1, 312.189, 23.51, 2.97, 0.01, 3369.41, 0.000, -16.48429, -68.14620, 3.7390, 10, 645.19, 0.13, 231.97, 0.07, 0.00, 0.00, 0.00, 11:16:11, 195.4, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:27, 215, 26127.215, 13.28705, 3.7370, 650.97, 2.93, 2.93, 28.87, -12.00, 23.33, 5.1, 312.145, 23.52, 2.93, 0.02, 3356.39, 0.000, -16.48429, -68.14620, 3.7390, 10, 645.19, 0.11, 242.46, 0.07, 0.00, 0.00, 0.00, 11:16:12, 195.4, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:28, 145, 26128.145, 13.30255, 3.7367, 650.99, 2.89, 2.89, 29.21, -11.90, 23.33, 5.1, 312.097, 23.52, 2.89, 0.00, 3386.29, 0.000, -16.48429, -68.14620, 3.7400, 10, 645.11, 0.11, 242.46, 0.10, 0.00, 0.00, 0.00, 11:16:13, 195.4, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:29, 185, 26129.185, 13.31989, 3.7371, 650.96, 2.85, 2.85, 29.26, -11.91, 23.32, 5.1, 312.056, 23.52, 2.85, 0.02, 3382.62, 0.000, -16.48429, -68.14620, 3.7400, 10, 645.11, 0.11, 242.46, 0.10, 0.00, 0.00, 0.00, 11:16:14, 195.4, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:30, 135, 26130.135, 13.33572, 3.7371, 650.96, 2.88, 2.88, 29.04, -11.97, 23.34, 5.1, 312.090, 23.52, 2.88, 0.02, 3364.28, 0.000, -16.48429, -68.14620, 3.7400, 10, 645.11, 0.05, 242.46, 0.07, 0.00, 0.00, 0.00, 11:16:15, 195.4, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:31, 175, 26131.175, 13.35305, 3.7372, 650.95, 2.87, 2.87, 28.88, -12.04, 23.34, 5.1, 312.080, 23.53, 2.87, 0.04, 3343.35, 0.000, -16.48429, -68.14620, 3.7400, 9, 645.11, 0.00, 242.46, 0.07, 0.00, 0.00, 0.00, 11:16:16, 192.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:32, 235, 26132.235, 13.37072, 3.7372, 650.95, 2.89, 2.89, 29.32, -11.86, 23.34, 5.1, 312.103, 23.52, 2.89, 0.03, 3399.30, 0.000, -16.48429, -68.14621, 3.7400, 9, 645.11, 0.10, 90.00, 0.07, 0.00, 0.00, 0.00, 11:16:17, 225.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:33, 175, 26133.175, 13.38639, 3.7372, 650.95, 2.85, 2.85, 29.34, -11.88, 23.34, 5.1, 312.057, 23.53, 2.85, 0.03, 3391.95, 0.000, -16.48429, -68.14621, 3.7400, 9, 645.11, 0.10, 90.00, 0.07, 0.00, 0.00, 0.00, 11:16:18, 225.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:34, 175, 26134.175, 13.40305, 3.7369, 650.98, 2.83, 2.83, 29.65, -11.78, 23.34, 5.1, 312.031, 23.53, 2.83, 0.02, 3422.88, 0.000, -16.48429, -68.14621, 3.7400, 9, 645.11, 0.10, 75.39, 0.07, 0.00, 0.00, 0.00, 11:16:19, 225.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:35, 235, 26135.235, 13.42072, 3.7366, 651.00, 2.95, 2.95, 30.12, -11.51, 23.34, 5.1, 312.164, 23.53, 2.95, 0.02, 3507.05, 0.000, -16.48429, -68.14621, 3.7400, 9, 645.11, 0.11, 75.39, 0.07, 0.00, 0.00, 0.00, 11:16:20, 225.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:36, 175, 26136.175, 13.43639, 3.7365, 651.01, 2.98, 2.98, 30.57, -11.32, 23.35, 5.1, 312.196, 23.53, 2.98, 0.02, 3567.18, 0.000, -16.48429, -68.14621, 3.7400, 9, 645.11, 0.10, 75.39, 0.07, 0.00, 0.00, 0.00, 11:16:21, 225.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:37, 185, 26137.185, 13.45322, 3.7364, 651.02, 2.87, 2.87, 30.57, -11.41, 23.35, 5.1, 312.070, 23.53, 2.87, 0.02, 3539.31, 0.000, -16.48429, -68.14620, 3.7400, 9, 645.11, 0.03, 75.39, 0.07, 0.00, 0.00, 0.00, 11:16:22, 192.3, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:38, 205, 26138.205, 13.47022, 3.7361, 651.04, 2.82, 2.82, 30.26, -11.56, 23.35, 5.1, 312.011, 23.54, 2.82, -0.01, 3490.73, 0.000, -16.48429, -68.14621, 3.7400, 9, 645.11, 0.11, 75.39, 0.07, 0.00, 0.00, 0.00, 11:16:23, 225.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:39, 185, 26139.185, 13.48655, 3.7361, 651.04, 2.76, 2.76, 29.93, -11.73, 23.35, 5.1, 311.943, 23.54, 2.76, -0.02, 3437.80, 0.000, -16.48429, -68.14621, 3.7390, 9, 645.19, 0.11, 104.61, 0.03, 0.00, 0.00, 0.00, 11:16:24, 232.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:40, 185, 26140.185, 13.50322, 3.7361, 651.04, 2.67, 2.67, 29.57, -11.94, 23.36, 5.1, 311.842, 23.54, 2.67, -0.02, 3374.59, 0.000, -16.48429, -68.14621, 3.7390, 9, 645.19, 0.03, 104.61, 0.00, 0.00, 0.00, 0.00, 11:16:25, 232.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:41, 195, 26141.195, 13.52005, 3.7360, 651.05, 2.71, 2.71, 29.57, -11.90, 23.36, 5.1, 311.885, 23.54, 2.71, -0.01, 3384.18, 0.000, -16.48429, -68.14621, 3.7390, 10, 645.19, 0.03, 104.61, 0.00, 0.00, 0.00, 0.00, 11:16:26, 232.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:42, 195, 26142.195, 13.53672, 3.7363, 651.03, 2.75, 2.75, 29.76, -11.80, 23.36, 5.1, 311.933, 23.54, 2.75, 0.01, 3415.83, 0.000, -16.48429, -68.14621, 3.7390, 10, 645.19, 0.03, 104.61, 0.00, 0.00, 0.00, 0.00, 11:16:27, 232.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:43, 185, 26143.185, 13.55322, 3.7359, 651.06, 2.75, 2.75, 29.79, -11.79, 23.36, 5.1, 311.929, 23.54, 2.75, 0.00, 3419.12, 0.000, -16.48429, -68.14621, 3.7390, 10, 645.19, 0.05, 104.61, 0.03, 0.00, 0.00, 0.00, 11:16:28, 240.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:44, 165, 26144.165, 13.56955, 3.7359, 651.06, 2.83, 2.83, 29.82, -11.72, 23.37, 5.1, 312.020, 23.54, 2.83, 0.00, 3442.14, 0.000, -16.48429, -68.14621, 3.7390, 10, 645.19, 0.03, 104.61, 0.03, 0.00, 0.00, 0.00, 11:16:29, 232.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:45, 175, 26145.175, 13.58639, 3.7360, 651.05, 2.84, 2.84, 30.43, -11.48, 23.37, 5.1, 312.032, 23.55, 2.84, -0.01, 3515.36, 0.000, -16.48429, -68.14621, 3.7390, 10, 645.19, 0.10, 104.61, 0.03, 0.00, 0.00, 0.00, 11:16:30, 232.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:46, 195, 26146.195, 13.60339, 3.7359, 651.06, 2.83, 2.83, 30.29, -11.54, 23.37, 5.1, 312.020, 23.55, 2.83, -0.02, 3496.59, 0.000, -16.48429, -68.14620, 3.7390, 10, 645.19, 0.10, 255.39, 0.03, 0.00, 0.00, 0.00, 11:16:31, 195.4, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:47, 175, 26147.175, 13.61972, 3.7355, 651.09, 2.79, 2.79, 30.09, -11.65, 23.37, 5.1, 311.970, 23.55, 2.79, -0.04, 3463.37, 0.000, -16.48429, -68.14621, 3.7390, 10, 645.19, 0.00, 255.39, 0.03, 0.00, 0.00, 0.00, 11:16:32, 232.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:48, 185, 26148.185, 13.63655, 3.7356, 651.08, 2.81, 2.81, 29.81, -11.74, 23.38, 5.1, 311.994, 23.55, 2.81, -0.03, 3435.98, 0.000, -16.48429, -68.14621, 3.7390, 10, 645.19, 0.00, 255.39, 0.00, 0.00, 0.00, 0.00, 11:16:33, 232.1, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:49, 185, 26149.185, 13.65322, 3.7355, 651.09, 2.89, 2.89, 29.65, -11.73, 23.37, 5.1, 312.083, 23.55, 2.89, -0.04, 3436.95, 0.000, -16.48429, -68.14620, 3.7390, 10, 645.19, 0.10, 270.00, 0.00, 0.00, 0.00, 0.00, 11:16:34, 195.4, 90.0, 0.00, 0.00000, 0.00000, 0.000
26-07-2023, 07:15:50, 175, 26150.175, 13.66972, 3.7355, 651.09, 2.94, 2.94, 30.07, -11.54, 23.38, 5.1, 312.140, 23.56, 2.94, -0.04, 3498.23, 0.000, -16.48429, -68.14620, 3.7390, 10, 645.19, 0.11, 255.39, 0.00, 0.00, 0.00, 0.00, 11:16:35, 200.5, 90.0, 0.00, 0.00000, 0.00000, 0.000
