NOAA/GMD balloon flight data file

SkySonde Client Version:, 1.1.1.8
Balloon Flight Name:, es202
Attached Instruments:, Radiosonde
Station Name:, esc
Station Latitude:, -16.62305
Station Longitude:, -68.12965
Station Altitude:, 4025.00 [m]
Station Pressure:, 646.38 [mb]
Station Temperature:, 10.000 [deg C]
Station Humidity:, 35.320 [% RH]
Radiosonde Serial Number / ID:, 44579
Pressure/Altitude Source:, iMet Radiosonde
Solar Radiation Correction:, Yes

date [d-m-y GMT], time [h:m:s GMT], milliseconds, seconds since midnight [GMT], elapsed minutes, altitude (from iMet PTU) [km], iMet pressure [mb], iMet air temperature (corrected) [deg C], iMet air temperature (raw) [deg C], iMet humidity [RH %], iMet frostpoint [deg C], iMet internal temperature [deg C], iMet battery voltage [V], iMet theta [K], iMet temperature (of pressure sensor) [deg C], iMet temperature (of humidity sensor) [deg C], iMet ascent rate [m/s], iMet water vapor mixing ratio [ppmv], iMet total column water [mm], GPS latitude, GPS longitude, GPS altitude [km], GPS num satellites, GPS pressure [mb], GPS wind speed [m/s], GPS wind direction [deg], GPS ascent rate [m/s], GPS(X) east velocity [m/s], GPS(X) north velocity [m/s], GPS(X) up velocity [m/s], GPS time [h:m:s GMT], GPS heading from launch [deg], GPS elevation angle from launch [deg], GPS distance from launch [km], predicted landing latitude, predicted landing longitude, predicted time to landing [min]
26-07-2023, 19:11:23, 727, 69083.727, 5.26267, 4.4030, 599.19, 3.42, 3.61, 17.54, -17.05, 16.58, 5.3, 320.202, 17.29, 3.61, 0.00, 2291.44, 0.065, -16.39765, -68.10307, 4.4060, 10, 616.54, 0.41, 165.65, 0.00, 0.00, 0.00, 0.00, 11:11:50, 118.9, 88.2, 0.14, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:24, 747, 69084.747, 5.27967, 4.4034, 599.16, 3.46, 3.65, 17.56, -17.01, 16.59, 5.3, 320.253, 17.29, 3.65, 0.02, 2300.68, 0.066, -16.39765, -68.10309, 4.4060, 10, 616.54, 0.55, 132.37, 0.00, 0.00, 0.00, 0.00, 11:11:51, 119.2, 88.2, 0.14, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:25, 747, 69085.747, 5.29634, 4.4040, 599.12, 3.43, 3.62, 17.67, -16.97, 16.59, 5.3, 320.225, 17.30, 3.62, 0.03, 2310.37, 0.066, -16.39765, -68.10309, 4.4070, 10, 616.46, 0.49, 123.08, 0.00, 0.00, 0.00, 0.00, 11:11:52, 119.3, 88.2, 0.14, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:26, 707, 69086.707, 5.31234, 4.4045, 599.08, 3.43, 3.62, 17.73, -16.93, 16.59, 5.3, 320.231, 17.31, 3.62, 0.04, 2318.39, 0.067, -16.39766, -68.10310, 4.4070, 10, 616.46, 0.65, 109.16, -0.03, 0.00, 0.00, 0.00, 11:11:53, 119.5, 88.2, 0.14, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:27, 767, 69087.767, 5.33001, 4.4045, 599.08, 3.43, 3.62, 17.59, -17.01, 16.60, 5.3, 320.231, 17.31, 3.62, 0.03, 2300.04, 0.067, -16.39766, -68.10310, 4.4070, 10, 616.46, 0.71, 94.26, -0.03, 0.00, 0.00, 0.00, 11:11:54, 119.7, 88.2, 0.14, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:28, 717, 69088.717, 5.34584, 4.4041, 599.11, 3.42, 3.61, 17.62, -17.00, 16.61, 5.3, 320.214, 17.32, 3.61, -0.01, 2302.22, 0.067, -16.39765, -68.10310, 4.4070, 10, 616.46, 0.71, 87.87, -0.07, 0.00, 0.00, 0.00, 11:11:55, 119.5, 88.2, 0.14, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:29, 697, 69089.697, 5.36217, 4.4036, 599.15, 3.45, 3.64, 17.72, -16.92, 16.61, 5.3, 320.243, 17.32, 3.64, -0.04, 2320.09, 0.066, -16.39764, -68.10310, 4.4070, 10, 616.46, 0.72, 98.47, -0.07, 0.00, 0.00, 0.00, 11:11:56, 119.2, 88.2, 0.14, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:30, 697, 69090.697, 5.37884, 4.4034, 599.16, 3.54, 3.73, 17.58, -16.94, 16.62, 5.3, 320.346, 17.32, 3.73, -0.05, 2316.39, 0.066, -16.39763, -68.10310, 4.4060, 10, 616.54, 0.59, 119.83, -0.14, 0.00, 0.00, 0.00, 11:11:57, 118.4, 88.2, 0.14, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:31, 697, 69091.697, 5.39551, 4.4034, 599.16, 3.62, 3.81, 17.53, -16.91, 16.62, 5.3, 320.438, 17.33, 3.81, -0.07, 2322.89, 0.066, -16.39762, -68.10309, 4.4060, 10, 616.54, 0.54, 158.00, -0.14, 0.00, 0.00, 0.00, 11:11:58, 117.7, 88.2, 0.14, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:32, 697, 69092.697, 5.41217, 4.4033, 599.17, 3.52, 3.71, 17.56, -16.96, 16.62, 5.3, 320.321, 17.34, 3.71, -0.09, 2310.44, 0.066, -16.39760, -68.10309, 4.4060, 10, 616.54, 0.69, 180.00, -0.14, 0.00, 0.00, 0.00, 11:11:59, 117.2, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:33, 717, 69093.717, 5.42917, 4.4029, 599.20, 3.51, 3.70, 17.64, -16.92, 16.63, 5.3, 320.305, 17.34, 3.70, -0.11, 2319.23, 0.065, -16.39759, -68.10309, 4.4060, 10, 616.54, 0.87, 180.00, -0.14, 0.00, 0.00, 0.00, 11:12:00, 116.7, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:34, 737, 69094.737, 5.44617, 4.4030, 599.19, 3.48, 3.67, 17.56, -16.99, 16.64, 5.3, 320.272, 17.34, 3.67, -0.11, 2303.83, 0.065, -16.39759, -68.10309, 4.4050, 10, 616.61, 0.96, 186.08, -0.17, 0.00, 0.00, 0.00, 11:12:01, 116.5, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:35, 697, 69095.697, 5.46217, 4.4026, 599.22, 3.42, 3.61, 17.67, -16.97, 16.64, 5.3, 320.198, 17.35, 3.61, -0.13, 2308.36, 0.065, -16.39760, -68.10310, 4.4050, 10, 616.61, 0.82, 180.00, -0.14, 0.00, 0.00, 0.00, 11:12:02, 117.2, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:36, 737, 69096.737, 5.47951, 4.4019, 599.27, 3.44, 3.63, 17.53, -17.04, 16.64, 5.3, 320.213, 17.35, 3.63, -0.16, 2293.08, 0.064, -16.39761, -68.10312, 4.4050, 10, 616.61, 0.59, 159.92, -0.14, 0.00, 0.00, 0.00, 11:12:03, 118.1, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:37, 767, 69097.767, 5.49667, 4.4021, 599.26, 3.58, 3.77, 17.55, -16.93, 16.64, 5.3, 320.377, 17.36, 3.77, -0.16, 2318.60, 0.064, -16.39761, -68.10313, 4.4040, 10, 616.69, 0.57, 134.34, -0.17, 0.00, 0.00, 0.00, 11:12:04, 118.6, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:38, 727, 69098.727, 5.51267, 4.4017, 599.29, 3.54, 3.73, 17.63, -16.91, 16.66, 5.3, 320.326, 17.36, 3.73, -0.17, 2322.50, 0.064, -16.39761, -68.10313, 4.4040, 10, 616.69, 0.58, 117.53, -0.17, 0.00, 0.00, 0.00, 11:12:05, 118.5, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:39, 737, 69099.737, 5.52951, 4.4014, 599.31, 3.64, 3.83, 17.47, -16.93, 16.65, 5.3, 320.439, 17.36, 3.83, -0.18, 2317.62, 0.064, -16.39761, -68.10313, 4.4040, 10, 616.69, 0.63, 102.25, -0.17, 0.00, 0.00, 0.00, 11:12:06, 118.3, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:40, 747, 69100.747, 5.54634, 4.4015, 599.30, 3.67, 3.86, 17.54, -16.86, 16.65, 5.3, 320.475, 17.36, 3.86, -0.16, 2331.91, 0.064, -16.39760, -68.10313, 4.4040, 10, 616.69, 0.61, 92.49, -0.14, 0.00, 0.00, 0.00, 11:12:07, 118.1, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:41, 777, 69101.777, 5.56351, 4.4010, 599.34, 3.76, 3.95, 17.60, -16.76, 16.65, 5.3, 320.573, 17.37, 3.95, -0.18, 2354.67, 0.063, -16.39759, -68.10313, 4.4030, 10, 616.76, 0.62, 90.00, -0.17, 0.00, 0.00, 0.00, 11:12:08, 117.6, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:42, 747, 69102.747, 5.57967, 4.4007, 599.36, 3.75, 3.94, 17.54, -16.80, 16.66, 5.3, 320.558, 17.37, 3.94, -0.17, 2344.90, 0.063, -16.39759, -68.10314, 4.4040, 10, 616.69, 0.72, 90.00, -0.14, 0.00, 0.00, 0.00, 11:12:09, 117.6, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:43, 767, 69103.767, 5.59667, 4.4004, 599.38, 3.67, 3.86, 17.63, -16.81, 16.66, 5.3, 320.463, 17.38, 3.86, -0.15, 2343.60, 0.063, -16.39759, -68.10314, 4.4040, 10, 616.69, 0.52, 101.78, -0.10, 0.00, 0.00, 0.00, 11:12:10, 117.7, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:44, 747, 69104.747, 5.61301, 4.4004, 599.38, 3.63, 3.82, 17.55, -16.89, 16.66, 5.3, 320.417, 17.38, 3.82, -0.15, 2326.35, 0.063, -16.39758, -68.10314, 4.4040, 10, 616.69, 0.46, 138.47, -0.07, 0.00, 0.00, 0.00, 11:12:11, 117.6, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:45, 737, 69105.737, 5.62951, 4.4003, 599.39, 3.54, 3.73, 17.52, -16.97, 16.67, 5.3, 320.311, 17.38, 3.73, -0.14, 2307.60, 0.062, -16.39759, -68.10315, 4.4050, 10, 616.61, 0.43, 151.27, -0.03, 0.00, 0.00, 0.00, 11:12:12, 117.8, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:46, 737, 69106.737, 5.64617, 4.4000, 599.41, 3.52, 3.71, 17.53, -16.98, 16.68, 5.3, 320.285, 17.39, 3.71, -0.13, 2305.58, 0.062, -16.39758, -68.10315, 4.4040, 10, 616.69, 0.40, 149.44, -0.03, 0.00, 0.00, 0.00, 11:12:13, 117.7, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:47, 727, 69107.727, 5.66267, 4.3999, 599.42, 3.52, 3.71, 17.61, -16.93, 16.69, 5.3, 320.283, 17.39, 3.71, -0.11, 2316.09, 0.062, -16.39758, -68.10315, 4.4040, 10, 616.69, 0.47, 154.37, -0.03, 0.00, 0.00, 0.00, 11:12:14, 117.3, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:48, 737, 69108.737, 5.67951, 4.4004, 599.38, 3.64, 3.83, 17.47, -16.93, 16.69, 5.3, 320.428, 17.39, 3.83, -0.09, 2317.37, 0.063, -16.39757, -68.10315, 4.4040, 10, 616.69, 0.50, 155.70, -0.03, 0.00, 0.00, 0.00, 11:12:15, 117.0, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:49, 747, 69109.747, 5.69634, 4.4000, 599.41, 3.74, 3.93, 17.46, -16.86, 16.69, 5.3, 320.539, 17.40, 3.93, -0.10, 2332.34, 0.062, -16.39756, -68.10314, 4.4030, 10, 616.76, 0.41, 165.65, -0.07, 0.00, 0.00, 0.00, 11:12:16, 116.5, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:50, 777, 69110.777, 5.71351, 4.3992, 599.47, 3.75, 3.94, 17.51, -16.82, 16.70, 5.3, 320.542, 17.40, 3.94, -0.13, 2340.45, 0.061, -16.39756, -68.10313, 4.4010, 10, 616.92, 0.41, 194.35, -0.14, 0.00, 0.00, 0.00, 11:12:17, 116.2, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:51, 747, 69111.747, 5.72967, 4.3979, 599.57, 3.76, 3.95, 17.57, -16.78, 16.70, 5.3, 320.538, 17.41, 3.95, -0.18, 2349.76, 0.060, -16.39756, -68.10313, 4.4000, 10, 616.99, 0.43, 193.49, -0.17, 0.00, 0.00, 0.00, 11:12:18, 116.2, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:52, 777, 69112.777, 5.74684, 4.3975, 599.60, 3.73, 3.92, 17.51, -16.84, 16.70, 5.3, 320.499, 17.42, 3.92, -0.19, 2336.66, 0.059, -16.39756, -68.10314, 4.3990, 10, 617.07, 0.32, 180.00, -0.24, 0.00, 0.00, 0.00, 11:12:19, 116.5, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:53, 737, 69113.737, 5.76284, 4.3971, 599.63, 3.64, 3.83, 17.55, -16.88, 16.71, 5.3, 320.390, 17.42, 3.83, -0.22, 2327.05, 0.059, -16.39757, -68.10314, 4.3990, 10, 617.07, 0.31, 199.23, -0.24, 0.00, 0.00, 0.00, 11:12:20, 116.7, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:54, 707, 69114.707, 5.77901, 4.3964, 599.68, 3.63, 3.82, 17.52, -16.91, 16.71, 5.3, 320.371, 17.42, 3.82, -0.26, 2321.23, 0.058, -16.39756, -68.10315, 4.3990, 10, 617.07, 0.29, 180.00, -0.28, 0.00, 0.00, 0.00, 11:12:21, 116.8, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:55, 727, 69115.727, 5.79601, 4.3961, 599.70, 3.64, 3.83, 17.60, -16.85, 16.71, 5.3, 320.379, 17.43, 3.83, -0.29, 2333.43, 0.058, -16.39756, -68.10315, 4.3990, 10, 617.07, 0.19, 180.00, -0.28, 0.00, 0.00, 0.00, 11:12:22, 116.7, 88.4, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:56, 747, 69116.747, 5.81301, 4.3963, 599.69, 3.56, 3.75, 17.52, -16.96, 16.72, 5.3, 320.288, 17.43, 3.75, -0.28, 2309.73, 0.058, -16.39756, -68.10316, 4.3990, 10, 617.07, 0.15, 136.19, -0.28, 0.00, 0.00, 0.00, 11:12:23, 116.8, 88.4, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:57, 767, 69117.767, 5.83001, 4.3960, 599.71, 3.53, 3.72, 17.58, -16.94, 16.73, 5.3, 320.251, 17.44, 3.72, -0.28, 2312.67, 0.058, -16.39756, -68.10316, 4.3990, 10, 617.07, 0.31, 94.96, -0.28, 0.00, 0.00, 0.00, 11:12:24, 117.0, 88.4, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:58, 717, 69118.717, 5.84584, 4.3956, 599.74, 3.44, 3.63, 17.61, -16.99, 16.74, 5.3, 320.142, 17.44, 3.63, -0.28, 2301.81, 0.057, -16.39757, -68.10317, 4.3980, 10, 617.14, 0.53, 75.39, -0.31, 0.00, 0.00, 0.00, 11:12:25, 117.5, 88.4, 0.12, 0.00000, 0.00000, 0.000
26-07-2023, 19:11:59, 727, 69119.727, 5.86267, 4.3953, 599.76, 3.39, 3.58, 17.66, -17.00, 16.72, 5.3, 320.081, 17.45, 3.58, -0.28, 2300.13, 0.057, -16.39758, -68.10318, 4.3980, 10, 617.14, 0.68, 64.46, -0.28, 0.00, 0.00, 0.00, 11:12:26, 118.2, 88.4, 0.12, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:00, 747, 69120.747, 5.87967, 4.3953, 599.76, 3.35, 3.54, 17.91, -16.88, 16.74, 5.3, 320.035, 17.45, 3.54, -0.28, 2326.16, 0.057, -16.39759, -68.10320, 4.3990, 10, 617.07, 0.81, 60.82, -0.24, 0.00, 0.00, 0.00, 11:12:27, 119.0, 88.4, 0.12, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:01, 727, 69121.727, 5.89601, 4.3953, 599.76, 3.30, 3.49, 17.67, -17.06, 16.74, 5.3, 319.977, 17.46, 3.49, -0.28, 2286.81, 0.057, -16.39760, -68.10321, 4.3990, 10, 617.07, 1.02, 63.79, -0.24, 0.00, 0.00, 0.00, 11:12:28, 119.8, 88.4, 0.12, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:02, 737, 69122.737, 5.91284, 4.3948, 599.80, 3.31, 3.50, 17.72, -17.03, 16.75, 5.3, 319.982, 17.46, 3.50, -0.28, 2294.76, 0.056, -16.39759, -68.10321, 4.3990, 10, 617.07, 0.88, 68.65, -0.24, 0.00, 0.00, 0.00, 11:12:29, 119.2, 88.4, 0.12, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:03, 717, 69123.717, 5.92917, 4.3946, 599.81, 3.37, 3.56, 17.69, -17.00, 16.75, 5.3, 320.050, 17.47, 3.56, -0.29, 2300.59, 0.056, -16.39757, -68.10320, 4.3990, 10, 617.07, 0.63, 75.39, -0.21, 0.00, 0.00, 0.00, 11:12:30, 118.3, 88.4, 0.12, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:04, 727, 69124.727, 5.94601, 4.3946, 599.81, 3.32, 3.51, 17.72, -17.02, 16.76, 5.3, 319.992, 17.47, 3.51, -0.28, 2296.36, 0.056, -16.39757, -68.10319, 4.3980, 10, 617.14, 0.42, 78.94, -0.24, 0.00, 0.00, 0.00, 11:12:31, 117.7, 88.4, 0.12, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:05, 707, 69125.707, 5.96234, 4.3944, 599.83, 3.45, 3.64, 17.96, -16.78, 16.76, 5.3, 320.140, 17.48, 3.64, -0.26, 2348.98, 0.056, -16.39756, -68.10317, 4.3970, 10, 617.22, 0.11, 117.53, -0.28, 0.00, 0.00, 0.00, 11:12:32, 117.0, 88.4, 0.12, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:06, 687, 69126.687, 5.97867, 4.3931, 599.92, 3.47, 3.66, 17.66, -16.94, 16.76, 5.3, 320.149, 17.48, 3.66, -0.31, 2312.58, 0.055, -16.39754, -68.10315, 4.3960, 10, 617.30, 0.44, 223.81, -0.28, 0.00, 0.00, 0.00, 11:12:33, 115.9, 88.4, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:07, 747, 69127.747, 5.99634, 4.3922, 599.99, 3.47, 3.66, 17.76, -16.88, 16.77, 5.3, 320.139, 17.48, 3.66, -0.33, 2325.44, 0.054, -16.39755, -68.10316, 4.3950, 10, 617.37, 0.46, 221.53, -0.31, 0.00, 0.00, 0.00, 11:12:34, 116.5, 88.4, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:08, 727, 69128.727, 6.01267, 4.3915, 600.04, 3.49, 3.68, 17.76, -16.87, 16.78, 5.3, 320.154, 17.49, 3.68, -0.34, 2328.55, 0.053, -16.39757, -68.10316, 4.3940, 10, 617.45, 0.61, 235.88, -0.34, 0.00, 0.00, 0.00, 11:12:35, 117.1, 88.4, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:09, 737, 69129.737, 6.02951, 4.3911, 600.07, 3.50, 3.69, 17.76, -16.86, 16.78, 5.3, 320.161, 17.49, 3.69, -0.36, 2330.08, 0.052, -16.39756, -68.10315, 4.3940, 10, 617.45, 0.97, 236.92, -0.34, 0.00, 0.00, 0.00, 11:12:36, 116.6, 88.4, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:10, 697, 69130.697, 6.04551, 4.3910, 600.08, 3.60, 3.79, 17.76, -16.78, 16.79, 5.3, 320.275, 17.50, 3.79, -0.35, 2346.58, 0.052, -16.39755, -68.10314, 4.3940, 9, 617.45, 1.06, 239.92, -0.31, 0.00, 0.00, 0.00, 11:12:37, 115.9, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:11, 727, 69131.727, 6.06267, 4.3906, 600.11, 3.60, 3.79, 17.71, -16.81, 16.79, 5.3, 320.271, 17.50, 3.79, -0.35, 2339.85, 0.052, -16.39754, -68.10313, 4.3940, 9, 617.45, 0.98, 236.92, -0.35, 0.00, 0.00, 0.00, 11:12:38, 115.2, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:12, 697, 69132.697, 6.07884, 4.3898, 600.17, 3.58, 3.77, 17.75, -16.80, 16.79, 5.3, 320.238, 17.50, 3.77, -0.37, 2341.60, 0.051, -16.39751, -68.10312, 4.3930, 9, 617.53, 1.20, 229.02, -0.38, 0.00, 0.00, 0.00, 11:12:39, 113.7, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:13, 717, 69133.717, 6.09584, 4.3887, 600.25, 3.62, 3.81, 17.73, -16.79, 16.80, 5.3, 320.273, 17.51, 3.81, -0.41, 2345.27, 0.050, -16.39748, -68.10310, 4.3910, 9, 617.68, 1.46, 224.54, -0.45, 0.00, 0.00, 0.00, 11:12:40, 112.0, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:14, 717, 69134.717, 6.11251, 4.3884, 600.27, 3.67, 3.86, 17.70, -16.77, 16.80, 5.3, 320.327, 17.52, 3.86, -0.41, 2349.51, 0.049, -16.39747, -68.10310, 4.3910, 9, 617.68, 1.30, 213.23, -0.48, 0.00, 0.00, 0.00, 11:12:41, 111.3, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:15, 717, 69135.717, 6.12917, 4.3883, 600.28, 3.59, 3.78, 17.78, -16.78, 16.80, 5.3, 320.233, 17.52, 3.78, -0.41, 2346.81, 0.049, -16.39747, -68.10310, 4.3930, 9, 617.53, 1.40, 210.83, -0.38, 0.00, 0.00, 0.00, 11:12:42, 111.5, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:16, 737, 69136.737, 6.14617, 4.3891, 600.22, 3.48, 3.67, 17.63, -16.95, 16.80, 5.3, 320.115, 17.53, 3.67, -0.37, 2309.16, 0.050, -16.39747, -68.10310, 4.3950, 9, 617.37, 1.49, 208.73, -0.31, 0.00, 0.00, 0.00, 11:12:43, 111.7, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:17, 727, 69137.727, 6.16267, 4.3899, 600.16, 3.42, 3.61, 17.66, -16.98, 16.81, 5.3, 320.055, 17.53, 3.61, -0.36, 2303.52, 0.051, -16.39747, -68.10310, 4.3970, 9, 617.22, 1.35, 207.10, -0.24, 0.00, 0.00, 0.00, 11:12:44, 111.8, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:18, 697, 69138.697, 6.17884, 4.3911, 600.07, 3.37, 3.56, 17.69, -17.00, 16.81, 5.3, 320.011, 17.53, 3.56, -0.31, 2299.63, 0.052, -16.39750, -68.10312, 4.3990, 9, 617.07, 0.77, 203.09, -0.14, 0.00, 0.00, 0.00, 11:12:45, 113.1, 88.4, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:19, 727, 69139.727, 6.19601, 4.3915, 600.04, 3.40, 3.59, 17.93, -16.83, 16.81, 5.3, 320.050, 17.54, 3.59, -0.27, 2335.97, 0.053, -16.39752, -68.10313, 4.3990, 9, 617.07, 0.21, 208.73, -0.07, 0.00, 0.00, 0.00, 11:12:46, 114.4, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:20, 737, 69140.737, 6.21284, 4.3922, 599.99, 3.47, 3.66, 17.71, -16.91, 16.83, 5.3, 320.139, 17.54, 3.66, -0.20, 2318.90, 0.053, -16.39754, -68.10313, 4.3980, 10, 617.15, 0.55, 22.00, -0.07, 0.00, 0.00, 0.00, 11:12:47, 115.6, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:21, 757, 69141.757, 6.22984, 4.3923, 599.98, 3.48, 3.67, 17.65, -16.94, 16.82, 5.3, 320.152, 17.54, 3.67, -0.18, 2312.69, 0.054, -16.39756, -68.10313, 4.3980, 10, 617.15, 1.24, 24.05, -0.03, 0.00, 0.00, 0.00, 11:12:48, 116.5, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:22, 707, 69142.707, 6.24568, 4.3929, 599.94, 3.52, 3.71, 17.87, -16.78, 16.82, 5.3, 320.204, 17.55, 3.71, -0.14, 2348.38, 0.054, -16.39757, -68.10313, 4.3970, 10, 617.22, 1.50, 19.90, -0.07, 0.00, 0.00, 0.00, 11:12:49, 116.6, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:23, 727, 69143.727, 6.26268, 4.3930, 599.93, 3.49, 3.68, 17.65, -16.93, 16.83, 5.3, 320.171, 17.55, 3.68, -0.12, 2314.52, 0.054, -16.39757, -68.10313, 4.3970, 10, 617.22, 1.49, 15.87, -0.07, 0.00, 0.00, 0.00, 11:12:50, 116.8, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:24, 747, 69144.747, 6.27968, 4.3930, 599.93, 3.48, 3.67, 17.68, -16.92, 16.84, 5.3, 320.159, 17.56, 3.67, -0.11, 2316.83, 0.054, -16.39757, -68.10313, 4.3980, 10, 617.15, 1.38, 17.07, -0.03, 0.00, 0.00, 0.00, 11:12:51, 116.6, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:25, 707, 69145.707, 6.29568, 4.3933, 599.91, 3.42, 3.61, 17.79, -16.90, 16.84, 5.3, 320.093, 17.56, 3.61, -0.10, 2321.47, 0.055, -16.39757, -68.10314, 4.3980, 10, 617.15, 1.40, 21.38, -0.03, 0.00, 0.00, 0.00, 11:12:52, 116.8, 88.3, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:26, 727, 69146.727, 6.31268, 4.3938, 599.87, 3.39, 3.58, 17.76, -16.94, 16.84, 5.3, 320.064, 17.56, 3.58, -0.07, 2312.78, 0.055, -16.39757, -68.10316, 4.3990, 10, 617.07, 1.13, 26.79, 0.00, 0.00, 0.00, 0.00, 11:12:53, 117.2, 88.4, 0.13, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:27, 717, 69147.717, 6.32918, 4.3945, 599.82, 3.50, 3.69, 17.79, -16.84, 16.85, 5.3, 320.199, 17.57, 3.69, -0.04, 2335.00, 0.056, -16.39757, -68.10317, 4.4000, 10, 616.99, 0.88, 43.81, 0.07, 0.00, 0.00, 0.00, 11:12:54, 117.5, 88.4, 0.12, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:28, 687, 69148.687, 6.34534, 4.3950, 599.78, 3.60, 3.79, 17.62, -16.87, 16.85, 5.3, 320.321, 17.57, 3.79, -0.01, 2329.21, 0.057, -16.39758, -68.10318, 4.4000, 10, 616.99, 0.75, 53.56, 0.07, 0.00, 0.00, 0.00, 11:12:55, 118.1, 88.4, 0.12, 0.00000, 0.00000, 0.000
26-07-2023, 19:12:29, 717, 69149.717, 6.36251, 4.3952, 599.77, 3.62, 3.81, 17.72, -16.79, 16.86, 5.3, 320.346, 17.57, 3.81, 0.00, 2345.81, 0.057, -16.39758, -68.10319, 4.4010, 10, 616.92, 0.77, 69.58, 0.07, 0.00, 0.00, 0.00, 11:12:56, 118.5, 88.4, 0.12, 0.00000, 0.00000, 0.000
