Year,Month,Day,Hour,Minute,PM1,PM2.5,PM10, lon, lat
2023.00,7.00000,26.0000,18.0000,34.0000,21.3235,34.2353,40.7941,-68.1464,-16.4840
2023.00,7.00000,26.0000,18.0000,49.0000,17.2727,25.9091,27.7273,-68.1464,-16.4840
2023.00,7.00000,26.0000,19.0000,4.00000,12.7750,23.3250,26.0250,-68.1464,-16.4840
2023.00,7.00000,26.0000,19.0000,19.0000,13.5294,22.1176,24.9412,-68.1464,-16.4840
2023.00,7.00000,26.0000,19.0000,34.0000,12.5294,23.2353,25.7353,-68.1464,-16.4840
2023.00,7.00000,26.0000,19.0000,49.0000,17.9756,28.5854,33.0244,-68.1464,-16.4840
2023.00,7.00000,26.0000,20.0000,4.00000,16.7742,28.5806,32.0323,-68.1464,-16.4840
2023.00,7.00000,26.0000,20.0000,19.0000,19.2653,31.1224,34.3673,-68.1464,-16.4840
2023.00,7.00000,26.0000,20.0000,34.0000,17.5588,28.4118,30.8529,-68.1464,-16.4840
2023.00,7.00000,26.0000,20.0000,49.0000,19.5849,31.3962,37.9245,-68.1464,-16.4840
2023.00,7.00000,26.0000,21.0000,4.00000,15.0698,25.4651,28.5814,-68.1464,-16.4840
2023.00,7.00000,26.0000,21.0000,19.0000,20.1892,31.2703,37.8108,-68.1464,-16.4840
2023.00,7.00000,26.0000,21.0000,34.0000,20.6471,31.7941,37.9118,-68.1464,-16.4840
2023.00,7.00000,26.0000,21.0000,49.0000,22.6364,35.2424,44.5152,-68.1464,-16.4840
2023.00,7.00000,26.0000,22.0000,4.00000,21.6471,34.8627,42.6078,-68.1464,-16.4840
2023.00,7.00000,26.0000,22.0000,19.0000,19.5278,31.6944,39.1944,-68.1464,-16.4840
2023.00,7.00000,26.0000,22.0000,34.0000,22.9111,36.6444,44.7556,-68.1464,-16.4840
2023.00,7.00000,26.0000,22.0000,49.0000,21.4737,34.4211,42.8421,-68.1464,-16.4840
2023.00,7.00000,26.0000,23.0000,4.00000,21.5263,34.3158,41.0789,-68.1464,-16.4840
2023.00,7.00000,26.0000,23.0000,19.0000,17.9375,30.1562,34.3125,-68.1464,-16.4840
2023.00,7.00000,26.0000,23.0000,34.0000,21.1905,33.6905,40.6190,-68.1464,-16.4840
2023.00,7.00000,26.0000,23.0000,49.0000,21.1837,35.7143,42.9388,-68.1464,-16.4840
